rating(22/23),totalRating(22/23),countRating(22/23),goals(22/23),bigChancesCreated(22/23),bigChancesMissed(22/23),expectedAssists(22/23),goalsAssistsSum(22/23),accuratePasses(22/23),inaccuratePasses(22/23),totalPasses(22/23),accuratePassesPercentage(22/23),accurateOwnHalfPasses(22/23),accurateOppositionHalfPasses(22/23),accurateFinalThirdPasses(22/23),keyPasses(22/23),successfulDribbles(22/23),successfulDribblesPercentage(22/23),tackles(22/23),interceptions(22/23),yellowCards(22/23),directRedCards(22/23),redCards(22/23),accurateCrosses(22/23),accurateCrossesPercentage(22/23),totalShots(22/23),shotsOnTarget(22/23),shotsOffTarget(22/23),groundDuelsWon(22/23),groundDuelsWonPercentage(22/23),aerialDuelsWon(22/23),aerialDuelsWonPercentage(22/23),totalDuelsWon(22/23),totalDuelsWonPercentage(22/23),minutesPlayed(22/23),goalConversionPercentage(22/23),penaltiesTaken(22/23),penaltyGoals(22/23),penaltyWon(22/23),penaltyConceded(22/23),shotFromSetPiece(22/23),freeKickGoal(22/23),goalsFromInsideTheBox(22/23),goalsFromOutsideTheBox(22/23),shotsFromInsideTheBox(22/23),shotsFromOutsideTheBox(22/23),headedGoals(22/23),leftFootGoals(22/23),rightFootGoals(22/23),accurateLongBalls(22/23),accurateLongBallsPercentage(22/23),clearances(22/23),errorLeadToGoal(22/23),errorLeadToShot(22/23),dispossessed(22/23),possessionLost(22/23),possessionWonAttThird(22/23),totalChippedPasses(22/23),accurateChippedPasses(22/23),touches(22/23),wasFouled(22/23),fouls(22/23),hitWoodwork(22/23),ownGoals(22/23),dribbledPast(22/23),offsides(22/23),blockedShots(22/23),passToAssist(22/23),saves(22/23),cleanSheet(22/23),penaltyFaced(22/23),penaltySave(22/23),savedShotsFromInsideTheBox(22/23),savedShotsFromOutsideTheBox(22/23),goalsConcededInsideTheBox(22/23),goalsConcededOutsideTheBox(22/23),punches(22/23),runsOut(22/23),successfulRunsOut(22/23),highClaims(22/23),crossesNotClaimed(22/23),matchesStarted(22/23),penaltyConversion(22/23),setPieceConversion(22/23),totalAttemptAssist(22/23),totalContest(22/23),totalCross(22/23),duelLost(22/23),aerialLost(22/23),attemptPenaltyMiss(22/23),attemptPenaltyPost(22/23),attemptPenaltyTarget(22/23),totalLongBalls(22/23),goalsConceded(22/23),tacklesWon(22/23),tacklesWonPercentage(22/23),scoringFrequency(22/23),yellowRedCards(22/23),savesCaught(22/23),savesParried(22/23),totalOwnHalfPasses(22/23),totalOppositionHalfPasses(22/23),totwAppearances(22/23),expectedGoals(22/23),assists(22/23),rating(21/22),totalRating(21/22),countRating(21/22),goals(21/22),bigChancesCreated(21/22),bigChancesMissed(21/22),goalsAssistsSum(21/22),accuratePasses(21/22),inaccuratePasses(21/22),totalPasses(21/22),accuratePassesPercentage(21/22),accurateOwnHalfPasses(21/22),accurateOppositionHalfPasses(21/22),accurateFinalThirdPasses(21/22),keyPasses(21/22),successfulDribbles(21/22),successfulDribblesPercentage(21/22),tackles(21/22),interceptions(21/22),yellowCards(21/22),directRedCards(21/22),redCards(21/22),accurateCrosses(21/22),accurateCrossesPercentage(21/22),totalShots(21/22),shotsOnTarget(21/22),shotsOffTarget(21/22),groundDuelsWon(21/22),groundDuelsWonPercentage(21/22),aerialDuelsWon(21/22),aerialDuelsWonPercentage(21/22),totalDuelsWon(21/22),totalDuelsWonPercentage(21/22),minutesPlayed(21/22),goalConversionPercentage(21/22),penaltiesTaken(21/22),penaltyGoals(21/22),penaltyWon(21/22),penaltyConceded(21/22),shotFromSetPiece(21/22),freeKickGoal(21/22),goalsFromInsideTheBox(21/22),goalsFromOutsideTheBox(21/22),shotsFromInsideTheBox(21/22),shotsFromOutsideTheBox(21/22),headedGoals(21/22),leftFootGoals(21/22),rightFootGoals(21/22),accurateLongBalls(21/22),accurateLongBallsPercentage(21/22),clearances(21/22),errorLeadToGoal(21/22),errorLeadToShot(21/22),dispossessed(21/22),possessionLost(21/22),possessionWonAttThird(21/22),totalChippedPasses(21/22),accurateChippedPasses(21/22),touches(21/22),wasFouled(21/22),fouls(21/22),hitWoodwork(21/22),ownGoals(21/22),dribbledPast(21/22),offsides(21/22),blockedShots(21/22),passToAssist(21/22),saves(21/22),cleanSheet(21/22),penaltyFaced(21/22),penaltySave(21/22),savedShotsFromInsideTheBox(21/22),savedShotsFromOutsideTheBox(21/22),goalsConcededInsideTheBox(21/22),goalsConcededOutsideTheBox(21/22),punches(21/22),runsOut(21/22),successfulRunsOut(21/22),highClaims(21/22),crossesNotClaimed(21/22),matchesStarted(21/22),penaltyConversion(21/22),setPieceConversion(21/22),totalAttemptAssist(21/22),totalContest(21/22),totalCross(21/22),duelLost(21/22),aerialLost(21/22),attemptPenaltyMiss(21/22),attemptPenaltyPost(21/22),attemptPenaltyTarget(21/22),totalLongBalls(21/22),goalsConceded(21/22),tacklesWon(21/22),tacklesWonPercentage(21/22),scoringFrequency(21/22),yellowRedCards(21/22),savesCaught(21/22),savesParried(21/22),totalOwnHalfPasses(21/22),totalOppositionHalfPasses(21/22),totwAppearances(21/22),assists(21/22),factor(22/23),factor(21/22),age,price,attacking0,technical0,tactical0,defending0,creativity0,attacking1,technical1,tactical1,defending1,creativity1,attacking2,technical2,tactical2,defending2,creativity2,player,role_F,role_M
7.2058823529412,122.5,17,1,9,0,3.0790425,7,454,124,578,78.546712802768,146,316,182,40,48,58.536585365854,18,1,4,0,0,8,18.604651162791,7,4,1,93,52.840909090909,2,14.285714285714,95,50.0,1091,14.285714285714,0,0,0,0,0,0,1,0,4,3,0,0,1,26,59.090909090909,6,0,0,28,266,20,58,31,889,27,13,0,0,8,1,2,1,0,2,0,0,0,0,14,1,0,0,0,0,0,11,0.0,0.0,39,82,43,95,12,0,0,0,44,15,10,55.555555555556,1091.0,0,0,0,165,456,4,0.7511,6,7.3625,176.7,24,7,15,6,17,638,173,811,78.668310727497,196,456,273,61,55,64.705882352941,25,13,2,0,0,14,22.222222222222,36,13,13,105,51.980198019802,7,23.333333333333,112,48.275862068966,1862,19.444444444444,0,0,1,0,1,0,6,1,22,14,0,1,6,30,75.0,2,0,0,34,373,18,67,40,1250,25,15,0,0,18,10,10,2,0,1,0,0,0,0,31,3,0,0,0,0,0,22,0,0,59,85,63,120,23,0,0,0,40,34,10,40.0,266.0,0,0,0,231,643,7,10,1,1.0,20,95,79,87,50,24,84,75,80,40,23,84,73,81,36,26,79,florian-wirtz,0.0,1.0
6.8621621621622,253.9,37,9,4,7,0.0,17,498,171,669,74.439461883408,163,339,187,35,47,38.524590163934,11,8,2,0,0,4,19.047619047619,88,29,39,104,38.235294117647,52,46.846846846847,156,40.731070496084,2674,10.227272727273,0,0,1,0,1,0,7,2,62,26,4,1,4,34,68.0,18,0,0,71,459,17,35,20,1281,46,21,1,0,8,15,20,0,0,2,0,0,0,0,35,2,0,0,0,0,0,32,0.0,0.0,35,122,21,227,59,0,0,0,50,37,6,54.545454545455,297.11111111111,0,0,0,188,502,1,0.0,8,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,23,44,80,66,49,22,62,72,49,50,24,56,0,0,0,0,0,victor-okoh-boniface,1.0,0.0
6.7769230769231,176.2,26,5,2,6,1.91010793,8,418,117,535,78.130841121495,157,266,137,20,26,54.166666666667,18,6,2,2,2,5,27.777777777778,37,17,12,91,50.0,29,41.428571428571,120,47.619047619048,1442,13.513513513514,0,0,2,1,1,0,4,1,31,6,0,5,0,7,46.666666666667,5,0,0,18,234,12,13,7,863,47,39,1,0,12,4,8,0,0,0,0,0,0,0,16,1,0,0,0,0,0,16,0.0,0.0,20,48,18,132,41,0,0,0,15,17,10,55.555555555556,288.4,0,0,0,194,359,1,5.0422,3,6.842140468227403,164.2,26,3,4,7,5,407,120,527,76.51440634869647,145,266,135,16,26,57.321057321057545,28,11,3,1,1,4,18.31501831501827,39,19,16,86,54.835769393535195,14,31.988742964352884,100,49.43769680611796,1353,7.796257796257789,0,0,0,0,0,0,3,0,33,6,2,1,0,6,35.89743589743558,9,0,0,20,249,9,8,2,889,32,29,2,0,8,8,4,0,0,2,0,0,0,0,21,4,0,0,0,0,0,14,0,0,16,44,25,99,29,0,0,0,16,25,14,49.85754985755,404.8076923076923,0,0,0,175,377,1,2,1,0.5,23,23,74,65,53,38,66,65,48,41,32,60,66,57,45,38,58,amine-adli,1.0,0.0
6.7214285714286,94.1,14,3,0,7,0.43338231,4,169,73,242,69.834710743802,49,121,64,10,7,46.666666666667,0,1,0,0,0,1,25.0,34,14,11,23,46.0,30,44.117647058824,53,44.915254237288,941,8.8235294117647,0,0,0,0,1,0,3,0,29,5,1,2,0,1,25.0,7,0,0,13,128,3,3,2,393,16,5,1,0,1,0,9,0,0,0,0,0,0,0,19,2,0,0,0,0,0,10,0.0,0.0,10,15,4,65,38,0,0,0,4,21,0,0.0,313.66666666667,0,0,0,65,181,0,4.592,1,7.2555555555556,195.9,27,24,3,14,27,281,127,408,68.872549019608,95,186,87,16,15,36.585365853659,5,3,0,0,0,0,0.0,90,45,35,42,38.532110091743,55,42.96875,97,40.928270042194,2093,26.666666666667,2,1,0,0,2,0,23,1,78,12,4,14,6,6,54.545454545455,28,0,0,21,240,8,5,3,731,22,13,4,0,8,6,10,0,0,0,0,0,0,0,32,3,0,0,0,0,0,26,50,0,16,41,3,140,73,0,0,1,11,35,2,40.0,87.208333333333,0,0,0,131,280,5,3,1,1.0,28,20,80,60,52,17,49,77,56,50,19,50,82,64,56,24,52,patrik-schick,1.0,0.0
6.7965517241379,197.1,29,5,4,1,1.34519595,8,235,81,316,74.367088607595,73,167,90,18,9,56.25,9,6,2,0,0,5,33.333333333333,30,11,8,38,42.696629213483,24,35.820895522388,62,39.74358974359,1314,16.666666666667,0,0,0,0,2,0,5,0,21,9,1,3,1,10,76.923076923077,8,0,0,22,164,8,13,9,543,20,19,1,0,6,1,11,0,0,0,0,0,0,0,16,1,0,0,0,0,0,16,0.0,0.0,18,16,15,94,43,0,0,0,13,17,4,44.444444444444,262.8,0,0,0,97,234,1,2.746,3,0.0,0.0,33,9,0,0,9,0,0,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2786,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,309.55555555556,0,0,0,0,0,0,0,1,0.0,21,15.5,72,58,45,30,56,63,51,39,26,62,0,0,0,0,0,adam-hlozek,1.0,0.0
6.8742857142857,240.6,35,15,5,11,2.19725679,18,393,124,517,76.015473887814,140,253,148,22,12,44.444444444444,8,1,2,1,1,0,0.0,64,29,21,72,41.618497109827,24,35.294117647059,96,39.834024896266,2381,23.4375,6,5,0,0,0,0,15,0,55,9,0,1,14,13,81.25,17,0,0,38,261,14,21,16,872,52,40,3,0,11,22,14,0,0,1,0,0,0,0,20,4,0,0,0,0,0,29,83.333333333333,0.0,22,27,0,145,44,0,0,1,16,24,4,50.0,158.73333333333,0,0,0,156,361,3,14.9136,3,6.84375,219.0,33,10,5,5,10,236,96,332,71.084337349398,84,153,102,15,13,40.625,6,4,4,0,0,1,16.666666666667,38,19,11,48,37.795275590551,22,44.0,70,39.54802259887,1577,26.315789473684,3,3,2,0,0,0,9,1,30,8,2,0,8,11,52.380952380952,7,0,0,30,198,9,20,9,580,31,25,2,0,8,8,8,0,0,0,0,0,0,0,16,2,0,0,0,0,0,18,100,0,15,32,6,107,28,0,0,0,21,18,4,66.666666666667,157.7,0,0,0,97,241,2,0,1,1.0,31,8.3,73,54,42,18,56,78,61,52,24,52,77,60,51,23,51,borja-iglesias,1.0,0.0
7.0459459459459,260.7,37,7,6,3,4.02478143,14,1358,212,1570,86.496815286624,535,828,499,47,16,61.538461538462,34,15,5,0,0,5,12.820512820513,40,14,12,89,51.744186046512,37,56.060606060606,126,52.941176470588,3019,17.5,0,0,0,0,3,0,7,0,26,14,2,4,1,69,71.875,41,0,1,25,320,18,82,54,1979,39,26,1,0,25,5,14,0,0,9,0,0,0,0,29,6,0,0,0,0,0,36,0.0,0.0,47,26,39,112,29,0,0,0,96,35,27,79.411764705882,431.28571428571,0,0,0,593,1016,2,4.7069,7,6.8703703703704,185.5,27,1,2,0,3,1340,203,1543,86.843810758263,527,822,459,32,19,73.076923076923,32,21,10,1,1,9,36.0,27,5,11,70,46.35761589404,27,48.214285714286,97,46.859903381643,2331,3.7037037037037,0,0,0,1,1,0,0,1,10,17,0,1,0,53,56.989247311828,28,0,0,23,275,14,99,57,1862,19,29,0,0,25,2,11,0,0,5,0,0,0,0,31,4,0,0,0,0,0,27,0,0,32,26,25,110,29,0,0,0,93,35,18,56.25,2331.0,0,0,0,583,985,0,2,1,1.0,31,21,60,63,61,50,70,58,63,59,46,67,52,60,62,58,61,granit-xhaka,0.0,1.0
7.032,175.8,25,4,1,0,1.57773456,6,1013,173,1186,85.413153456998,531,484,202,15,10,66.666666666667,59,33,4,0,0,2,40.0,20,7,8,109,60.893854748603,13,48.148148148148,122,59.223300970874,1662,20.0,3,3,0,1,0,0,3,1,7,13,0,0,4,33,52.380952380952,25,0,0,24,230,10,67,29,1521,40,23,0,0,19,1,5,0,0,1,0,0,0,0,23,2,0,0,0,0,0,19,100.0,0.0,15,15,5,84,14,0,0,0,63,25,36,61.016949152542,415.5,0,0,0,593,598,3,2.9944,2,6.8652173913043,157.9,23,2,3,0,4,671,106,777,86.357786357786,338,336,143,8,6,54.545454545455,30,28,2,0,0,3,37.5,10,4,6,53,50.47619047619,7,50.0,60,50.420168067227,1094,20.0,0,0,0,0,0,0,0,2,0,10,0,0,2,45,61.643835616438,10,0,2,13,150,11,62,38,974,17,11,0,0,23,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,12,0,0,8,11,8,59,7,0,0,0,73,15,19,63.333333333333,547.0,0,0,0,375,410,0,2,1,1.0,25,41,61,65,56,60,63,54,54,44,51,57,54,60,52,51,62,exequiel-palacios,0.0,1.0
6.9352941176471,235.8,34,8,5,9,6.32841385,15,759,176,935,81.176470588235,297,480,268,45,85,62.5,53,16,4,0,0,18,25.714285714286,38,19,13,196,58.160237388724,12,34.285714285714,208,55.913978494624,2717,21.052631578947,0,0,1,0,0,0,8,0,33,5,0,2,6,17,43.589743589744,31,0,0,49,451,7,50,24,1810,58,22,4,0,21,8,6,0,0,4,0,0,0,0,37,3,0,0,0,0,0,32,0.0,0.0,45,136,70,164,23,0,0,0,39,40,27,50.943396226415,339.625,0,0,0,365,640,3,7.6384,7,6.772,169.3,25,1,4,1,7,760,172,932,81.545064377682,407,366,178,30,47,59.493670886076,32,17,6,0,0,13,22.413793103448,11,4,6,124,59.33014354067,19,51.351351351351,143,58.130081300813,2061,9.0909090909091,0,0,0,1,0,0,1,0,6,5,0,0,1,26,33.766233766234,33,0,2,26,358,6,28,11,1606,45,17,1,1,11,1,1,0,0,4,0,0,0,0,32,3,0,0,0,0,0,25,0,0,30,79,58,103,18,0,0,0,77,35,18,56.25,2061.0,0,0,0,487,503,1,6,1,1.0,23,52,65,69,35,40,75,53,61,32,45,64,50,55,30,45,61,jeremie-frimpong,0.0,0.0
7.4709677419355,231.6,31,12,14,6,10.93673767,21,1049,247,1296,80.941358024691,428,695,340,100,14,46.666666666667,31,16,2,0,0,74,36.453201970443,45,24,8,82,44.324324324324,12,36.363636363636,94,43.119266055046,2684,26.666666666667,1,0,2,1,5,0,12,0,32,13,0,3,9,45,44.117647058824,13,0,0,34,486,14,86,32,1891,39,17,0,0,37,23,13,1,0,4,0,0,0,0,44,3,0,0,0,0,0,30,0.0,0.0,99,30,203,124,21,0,0,1,102,47,16,51.612903225806,223.66666666667,0,0,0,488,1011,9,7.3485,9,7.4115384615385,192.7,26,12,6,6,17,894,198,1092,81.868131868132,413,529,268,70,21,47.727272727273,30,12,1,0,0,48,34.782608695652,54,23,13,71,43.292682926829,4,21.052631578947,75,40.983606557377,2081,22.222222222222,0,0,0,0,4,0,11,1,40,14,0,4,8,38,49.350649350649,7,0,0,23,394,13,60,30,1578,20,23,2,0,25,7,18,0,0,0,0,0,0,0,41,7,0,0,0,0,0,24,0,0,70,44,138,108,15,0,0,0,77,48,20,66.666666666667,173.41666666667,0,0,0,457,773,7,5,1,1.0,31,13.6,85,76,49,31,90,78,73,38,28,83,75,75,41,28,82,jonas-hofmann,0.0,1.0
