rating(22/23),totalRating(22/23),countRating(22/23),goals(22/23),bigChancesCreated(22/23),bigChancesMissed(22/23),expectedAssists(22/23),goalsAssistsSum(22/23),accuratePasses(22/23),inaccuratePasses(22/23),totalPasses(22/23),accuratePassesPercentage(22/23),accurateOwnHalfPasses(22/23),accurateOppositionHalfPasses(22/23),accurateFinalThirdPasses(22/23),keyPasses(22/23),successfulDribbles(22/23),successfulDribblesPercentage(22/23),tackles(22/23),interceptions(22/23),yellowCards(22/23),directRedCards(22/23),redCards(22/23),accurateCrosses(22/23),accurateCrossesPercentage(22/23),totalShots(22/23),shotsOnTarget(22/23),shotsOffTarget(22/23),groundDuelsWon(22/23),groundDuelsWonPercentage(22/23),aerialDuelsWon(22/23),aerialDuelsWonPercentage(22/23),totalDuelsWon(22/23),totalDuelsWonPercentage(22/23),minutesPlayed(22/23),goalConversionPercentage(22/23),penaltiesTaken(22/23),penaltyGoals(22/23),penaltyWon(22/23),penaltyConceded(22/23),shotFromSetPiece(22/23),freeKickGoal(22/23),goalsFromInsideTheBox(22/23),goalsFromOutsideTheBox(22/23),shotsFromInsideTheBox(22/23),shotsFromOutsideTheBox(22/23),headedGoals(22/23),leftFootGoals(22/23),rightFootGoals(22/23),accurateLongBalls(22/23),accurateLongBallsPercentage(22/23),clearances(22/23),errorLeadToGoal(22/23),errorLeadToShot(22/23),dispossessed(22/23),possessionLost(22/23),possessionWonAttThird(22/23),totalChippedPasses(22/23),accurateChippedPasses(22/23),touches(22/23),wasFouled(22/23),fouls(22/23),hitWoodwork(22/23),ownGoals(22/23),dribbledPast(22/23),offsides(22/23),blockedShots(22/23),passToAssist(22/23),saves(22/23),cleanSheet(22/23),penaltyFaced(22/23),penaltySave(22/23),savedShotsFromInsideTheBox(22/23),savedShotsFromOutsideTheBox(22/23),goalsConcededInsideTheBox(22/23),goalsConcededOutsideTheBox(22/23),punches(22/23),runsOut(22/23),successfulRunsOut(22/23),highClaims(22/23),crossesNotClaimed(22/23),matchesStarted(22/23),penaltyConversion(22/23),setPieceConversion(22/23),totalAttemptAssist(22/23),totalContest(22/23),totalCross(22/23),duelLost(22/23),aerialLost(22/23),attemptPenaltyMiss(22/23),attemptPenaltyPost(22/23),attemptPenaltyTarget(22/23),totalLongBalls(22/23),goalsConceded(22/23),tacklesWon(22/23),tacklesWonPercentage(22/23),scoringFrequency(22/23),yellowRedCards(22/23),savesCaught(22/23),savesParried(22/23),totalOwnHalfPasses(22/23),totalOppositionHalfPasses(22/23),totwAppearances(22/23),expectedGoals(22/23),assists(22/23),rating(21/22),totalRating(21/22),countRating(21/22),goals(21/22),bigChancesCreated(21/22),bigChancesMissed(21/22),goalsAssistsSum(21/22),accuratePasses(21/22),inaccuratePasses(21/22),totalPasses(21/22),accuratePassesPercentage(21/22),accurateOwnHalfPasses(21/22),accurateOppositionHalfPasses(21/22),accurateFinalThirdPasses(21/22),keyPasses(21/22),successfulDribbles(21/22),successfulDribblesPercentage(21/22),tackles(21/22),interceptions(21/22),yellowCards(21/22),directRedCards(21/22),redCards(21/22),accurateCrosses(21/22),accurateCrossesPercentage(21/22),totalShots(21/22),shotsOnTarget(21/22),shotsOffTarget(21/22),groundDuelsWon(21/22),groundDuelsWonPercentage(21/22),aerialDuelsWon(21/22),aerialDuelsWonPercentage(21/22),totalDuelsWon(21/22),totalDuelsWonPercentage(21/22),minutesPlayed(21/22),goalConversionPercentage(21/22),penaltiesTaken(21/22),penaltyGoals(21/22),penaltyWon(21/22),penaltyConceded(21/22),shotFromSetPiece(21/22),freeKickGoal(21/22),goalsFromInsideTheBox(21/22),goalsFromOutsideTheBox(21/22),shotsFromInsideTheBox(21/22),shotsFromOutsideTheBox(21/22),headedGoals(21/22),leftFootGoals(21/22),rightFootGoals(21/22),accurateLongBalls(21/22),accurateLongBallsPercentage(21/22),clearances(21/22),errorLeadToGoal(21/22),errorLeadToShot(21/22),dispossessed(21/22),possessionLost(21/22),possessionWonAttThird(21/22),totalChippedPasses(21/22),accurateChippedPasses(21/22),touches(21/22),wasFouled(21/22),fouls(21/22),hitWoodwork(21/22),ownGoals(21/22),dribbledPast(21/22),offsides(21/22),blockedShots(21/22),passToAssist(21/22),saves(21/22),cleanSheet(21/22),penaltyFaced(21/22),penaltySave(21/22),savedShotsFromInsideTheBox(21/22),savedShotsFromOutsideTheBox(21/22),goalsConcededInsideTheBox(21/22),goalsConcededOutsideTheBox(21/22),punches(21/22),runsOut(21/22),successfulRunsOut(21/22),highClaims(21/22),crossesNotClaimed(21/22),matchesStarted(21/22),penaltyConversion(21/22),setPieceConversion(21/22),totalAttemptAssist(21/22),totalContest(21/22),totalCross(21/22),duelLost(21/22),aerialLost(21/22),attemptPenaltyMiss(21/22),attemptPenaltyPost(21/22),attemptPenaltyTarget(21/22),totalLongBalls(21/22),goalsConceded(21/22),tacklesWon(21/22),tacklesWonPercentage(21/22),scoringFrequency(21/22),yellowRedCards(21/22),savesCaught(21/22),savesParried(21/22),totalOwnHalfPasses(21/22),totalOppositionHalfPasses(21/22),totwAppearances(21/22),assists(21/22),factor(22/23),factor(21/22),age,price,attacking0,technical0,tactical0,defending0,creativity0,attacking1,technical1,tactical1,defending1,creativity1,attacking2,technical2,tactical2,defending2,creativity2,player,role_F,role_M
6.9133333333333,207.4,32,3,5,5,3.28100025,6,414,93,507,81.656804733728,124,313,189,30,36,53.731343283582,24,15,3,0,0,23,31.506849315068,42,14,15,91,53.216374269006,8,38.095238095238,99,51.5625,1610,7.1428571428571,1,1,0,0,0,0,3,0,25,17,0,0,3,7,46.666666666667,3,0,0,13,231,12,18,9,891,31,27,0,0,12,4,13,0,0,1,0,0,0,0,5,3,0,0,0,0,0,20,100,0,30,67,73,93,13,0,0,0,15,8,13,54.166666666667,536.66666666667,0,0,0,142,438,3,5.3762,3,6.97,209.1,30,5,3,4,10,430,94,524,82.06106870229,144,302,175,28,29,65.909090909091,28,9,3,0,0,16,32.65306122449,50,20,18,90,48.913043478261,10,43.478260869565,100,48.309178743961,1621,10.0,0,0,1,0,0,0,5,0,32,18,0,1,4,5,38.461538461538,8,0,0,32,235,11,13,9,912,33,27,1,0,22,14,12,0,0,1,0,0,0,0,11,1,0,0,0,0,0,20,0,0,28,44,49,107,13,0,0,0,13,12,20,71.428571428571,324.2,0,0,0,170,403,2,5,1.0,1.0,28,21,71,68,53,42,60,71,64,47,38,63,71,62,34,25,64,hirving-lozano,1.0,0.0
7.1375,171.3,24,14,5,13,0.0,18,345,154,499,69.138276553106,110,237,144,20,5,38.461538461538,11,3,3,0,0,2,66.666666666667,63,32,25,36,36.363636363636,106,55.789473684211,142,49.134948096886,1755,22.222222222222,2,1,0,0,0,0,14,0,59,4,5,3,6,6,54.545454545455,23,0,0,32,251,15,24,16,787,21,14,3,0,10,7,6,0,0,1,0,0,0,0,14,4,0,0,0,0,0,23,50,0,20,13,3,147,84,0,0,1,11,18,7,63.636363636364,125.35714285714,0,0,0,133,369,2,0.0,4,6.8095238095238,143.0,21,6,1,6,6,131,51,182,71.978021978022,46,86,39,5,3,75.0,9,0,1,0,0,1,100.0,24,10,12,23,48.936170212766,34,65.384615384615,57,57.575757575758,699,25.0,0,0,0,0,0,0,6,0,23,1,5,0,1,0,0.0,12,0,0,15,98,8,3,3,315,12,8,2,0,1,6,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,6,0,0,5,4,1,42,18,0,0,0,1,3,7,77.777777777778,116.5,0,0,0,57,126,0,0,1.0,1.0,33,3.2,80,57,57,31,59,73,51,54,28,52,70,54,52,33,50,luuk-de-jong,1.0,0.0
7.25625,232.2,33,9,12,8,0.0,16,805,243,1048,76.812977099237,214,625,415,68,69,57.983193277311,29,11,8,0,0,34,28.333333333333,56,25,15,139,50.729927007299,5,26.315789473684,144,49.146757679181,2301,16.071428571429,3,3,3,0,0,0,9,0,37,19,0,2,7,31,50.819672131148,2,0,0,51,534,24,71,24,1670,41,24,1,0,12,9,16,1,0,4,0,0,0,0,26,4,0,0,0,0,0,25,100,0,67,119,120,149,14,0,0,0,61,30,18,62.068965517241,255.66666666667,0,0,0,245,923,4,0.0,7,7.2,266.4,37,7,19,6,19,1090,307,1397,78.024337866858,230,880,616,70,63,45.985401459854,24,13,7,1,2,20,21.505376344086,75,22,26,143,45.686900958466,3,13.04347826087,146,43.452380952381,2855,9.3333333333333,0,0,1,0,0,0,7,0,60,15,0,0,7,53,68.831168831169,2,0,0,57,624,34,141,84,2082,56,31,1,0,14,9,27,0,0,5,0,0,0,0,28,3,0,0,0,0,0,33,0,0,70,137,93,190,20,0,0,0,77,31,19,79.166666666667,407.85714285714,1,0,0,266,1224,6,12,0.0,0.0,24,22,73,68,51,29,69,72,58,52,29,65,77,64,50,27,69,noa-lang,1.0,0.0
7.0413793103448175,204.2,29,7,7,6,0.0,13,679,125,804,84.19432927300389,172,523,328,39,56,58.69623873509272,45,11,4,0,0,16,20.40502519138931,54,23,15,118,50.80127566274634,14,48.53128991060014,132,50.45939933259186,1850,13.409961685823623,1,1,1,0,0,0,6,1,34,20,0,4,3,8,51.536050156740174,1,0,0,35,348,20,24,15,1318,17,22,2,0,20,3,16,0,0,1,0,0,0,0,18,8,0,0,0,0,0,23,100,0,39,98,79,130,15,0,0,0,16,26,26,57.73399014778314,267.2965517241379,0,0,0,211,672,2,0.0,6,7.454285714285714,247.3,35,17,9,2,27,914,210,1124,81.11307225592911,281,675,432,60,75,59.05084745762743,33,18,3,0,0,42,24.615384615384688,84,32,31,153,48.638340582134084,14,51.02040816326491,167,49.03903903903909,2517,19.18871252204617,2,2,1,0,3,0,11,6,55,29,0,17,0,25,37.470725995316116,5,0,0,51,535,23,57,22,1870,45,46,2,0,22,8,21,0,0,1,0,0,0,0,41,4,0,0,0,0,0,28,100,0,60,123,157,174,15,0,0,0,61,45,26,74.28571428571429,133.59327731092117,0,0,0,331,950,7,10,0.5,0.5,20,37,71,72,47,40,67,65,62,42,39,56,62,57,41,37,52,johan-bakayoko,0.0,1.0
6.934343434343415,222.20000000000002,33,12,3,6,0.0218264,15,427,137,564,75.01269680040608,161,268,159,32,28,52.1088435374147,33,15,2,0,0,2,43.93939393939394,59,19,26,68,45.3274466519501,64,36.39594599190528,132,40.08644991542964,2552,18.181818181818365,1,1,0,0,0,0,12,0,53,6,2,2,8,10,62.7705627705624,38,0,0,23,275,21,17,9,976,7,19,1,0,26,19,14,0,0,2,0,0,0,0,56,6,0,0,0,0,0,29,100,0,32,54,4,198,109,0,0,0,14,62,18,58.80681818181818,180.00505050504756,0,0,0,184,384,1,0.0901,3,6.6363636363636,73.0,11,0,1,1,0,64,32,96,66.666666666667,19,46,23,5,2,66.666666666667,4,3,0,0,0,1,50.0,8,5,2,10,40.0,8,28.571428571429,18,33.962264150943,475,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,100.0,8,0,0,6,55,4,2,0,174,4,1,0,0,7,3,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,5,3,2,35,20,0,0,0,1,8,2,50.0,0.0,0,0,0,21,77,0,0,1.0,1.0,21,11.4,69,58,49,29,48,69,51,51,30,49,70,54,49,29,50,ricardo-pepi,1.0,0.0
6.677950310558992,140.3,23,3,2,3,0.0,5,87,38,125,69.5140664961639,14,74,45,9,6,38.3399209486163,7,1,1,0,0,1,32.608695652173914,21,16,4,16,32.66464194373391,4,25.527950310558982,20,29.98797044165674,683,10.869565217391521,0,0,0,0,0,0,3,0,14,7,0,2,1,2,23.188405797101563,0,0,0,9,79,5,4,3,231,4,10,0,0,6,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,7,0,0,9,15,3,48,15,0,0,0,5,13,5,82.6086956521739,114.78260869565217,0,0,0,21,107,1,0.0,2,6.8238095238095,143.3,24,6,1,5,9,157,67,224,70.089285714286,55,104,60,18,12,30.0,13,8,0,0,0,2,33.333333333333,30,12,13,41,39.047619047619,15,48.387096774194,56,41.176470588235,800,20.0,0,0,0,0,0,0,6,0,26,4,1,2,3,2,28.571428571429,3,0,0,24,170,12,2,0,457,16,4,0,0,9,1,5,1,0,0,0,0,0,0,12,2,0,0,0,0,0,5,0,0,17,40,6,80,16,0,0,0,7,14,8,61.538461538462,133.33333333333,0,0,0,66,164,2,3,0.5,1.0,23,3.6,71,56,48,30,49,59,45,43,28,50,60,51,42,27,54,yorbe-vertessen,1.0,0.0
6.856060606060631,137.5,22,1,4,8,0.0,5,311,62,373,83.04460690824345,111,203,121,19,22,46.022727272727046,31,13,1,0,0,3,42.27272727272727,35,14,14,67,49.154796529694316,5,34.280303030302775,72,47.629720048826044,879,1.3368983957219318,0,0,0,0,0,0,1,0,27,8,0,0,1,8,64.50216450216472,6,0,1,19,141,12,10,5,614,14,8,1,0,9,5,7,0,0,1,0,0,0,0,12,6,0,0,0,0,0,10,0,0,19,41,7,64,9,0,0,0,13,18,16,48.844696969697225,96.36363636363636,0,0,0,128,252,1,0.0,4,7.0769230769231,184.0,26,5,2,3,11,743,174,917,81.025081788441,303,445,264,40,40,55.555555555556,38,28,2,0,0,5,17.241379310345,46,17,21,100,50.251256281407,13,32.5,113,47.280334728033,2016,10.869565217391,0,0,1,0,0,0,3,2,21,25,0,1,4,47,67.142857142857,9,0,0,33,352,25,44,25,1358,22,19,1,1,17,15,8,0,0,4,0,0,0,0,31,5,0,0,0,0,0,24,0,0,40,72,29,126,27,0,0,0,70,36,29,76.315789473684,403.2,0,0,0,336,610,2,6,0.5,0.0,23,11,62,62,52,42,61,56,48,40,40,54,53,48,39,38,49,ismael-saibari,1.0,0.0
7.6454545454545,252.3,33,4,17,3,0.0,14,1524,292,1816,83.920704845815,567,1012,564,103,31,73.809523809524,52,28,1,0,0,55,36.666666666667,58,22,24,96,51.612903225806,23,60.526315789474,119,53.125,2489,6.8965517241379,0,0,0,1,3,0,3,1,16,42,0,2,2,170,63.90977443609,32,1,0,19,455,24,273,152,2361,13,20,0,0,40,2,12,2,0,7,0,0,0,0,20,9,0,0,0,0,0,30,0,0,101,42,150,105,15,0,0,0,266,29,29,55.769230769231,622.25,0,0,0,621,1345,10,0.0,10,7.5090909090909,247.8,33,7,10,0,18,1376,362,1738,79.171461449942,541,876,507,65,48,70.588235294118,58,35,1,0,0,41,26.451612903226,38,17,10,131,56.709956709957,19,63.333333333333,150,57.471264367816,2554,18.421052631579,0,0,0,0,2,0,3,4,15,23,0,2,5,163,62.452107279693,32,1,0,32,586,24,261,134,2343,25,12,2,0,36,0,11,1,0,6,0,0,0,0,35,4,0,0,0,0,0,29,0,0,64,68,155,111,11,0,0,0,261,39,33,56.896551724138,364.85714285714,0,0,0,625,1268,9,11,1.0,1.0,25,25,70,78,58,51,85,65,70,56,48,70,66,77,59,45,75,joey-veerman,0.0,1.0
7.0892857142857,198.5,28,10,12,4,0.0,14,631,173,804,78.482587064677,164,470,319,46,43,45.263157894737,55,20,4,0,0,3,14.285714285714,47,20,17,139,46.644295302013,38,55.882352941176,177,48.360655737705,1943,21.276595744681,0,0,0,0,0,0,10,0,43,4,2,0,8,14,40.0,9,0,0,53,372,23,34,11,1325,41,36,0,0,20,2,10,0,0,1,0,0,0,0,16,5,0,0,0,0,0,22,0,0,46,95,21,189,30,0,0,0,35,21,37,67.272727272727,194.3,0,0,0,185,640,6,0.0,4,6.7,20.1,4,0,1,0,0,31,9,40,77.5,12,19,11,3,0,0.0,2,2,0,0,0,0,0.0,1,1,0,3,20.0,3,75.0,6,31.578947368421,103,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50.0,0,0,0,2,22,0,1,1,70,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,5,0,13,1,0,0,0,2,2,1,50.0,0.0,0,0,0,14,26,0,0,0.0,1.0,21,10.9,63,58,49,38,64,60,57,47,44,58,0,0,0,0,0,malik-tillman,0.0,1.0
6.8137931034483,197.6,30,9,6,13,0.0,12,423,116,539,78.47866419295,142,288,168,23,6,30.0,35,12,4,0,0,7,35.0,50,20,20,60,42.253521126761,19,41.304347826087,79,42.021276595745,1759,18.0,0,0,1,1,0,0,7,2,45,5,3,3,3,8,32.0,14,0,0,27,216,12,12,2,855,19,30,3,0,15,0,10,0,0,1,0,0,0,0,22,9,0,0,0,0,0,19,0,0,23,20,20,109,27,0,0,0,25,31,21,60.0,195.44444444444,0,0,0,173,386,2,0.0,3,7.090625,226.9,32,15,7,13,18,546,178,724,75.414364640884,138,410,262,37,31,70.454545454545,41,15,2,0,0,2,10.526315789474,68,36,17,101,48.325358851675,40,54.054054054054,141,49.82332155477,2587,22.058823529412,0,0,1,0,0,0,15,0,52,16,4,1,10,7,35.0,21,0,0,43,316,29,19,8,1161,30,34,1,0,20,6,15,1,0,5,0,0,0,0,29,3,0,0,0,0,0,32,0,0,36,44,19,142,34,0,0,0,20,32,25,60.975609756098,172.46666666667,0,0,0,174,569,3,3,1.0,1.0,26,8.8,57,50,45,42,56,60,51,43,37,53,59,54,43,39,53,guus-til,0.0,1.0
