rating(22/23),totalRating(22/23),countRating(22/23),goals(22/23),bigChancesCreated(22/23),bigChancesMissed(22/23),expectedAssists(22/23),goalsAssistsSum(22/23),accuratePasses(22/23),inaccuratePasses(22/23),totalPasses(22/23),accuratePassesPercentage(22/23),accurateOwnHalfPasses(22/23),accurateOppositionHalfPasses(22/23),accurateFinalThirdPasses(22/23),keyPasses(22/23),successfulDribbles(22/23),successfulDribblesPercentage(22/23),tackles(22/23),interceptions(22/23),yellowCards(22/23),directRedCards(22/23),redCards(22/23),accurateCrosses(22/23),accurateCrossesPercentage(22/23),totalShots(22/23),shotsOnTarget(22/23),shotsOffTarget(22/23),groundDuelsWon(22/23),groundDuelsWonPercentage(22/23),aerialDuelsWon(22/23),aerialDuelsWonPercentage(22/23),totalDuelsWon(22/23),totalDuelsWonPercentage(22/23),minutesPlayed(22/23),goalConversionPercentage(22/23),penaltiesTaken(22/23),penaltyGoals(22/23),penaltyWon(22/23),penaltyConceded(22/23),shotFromSetPiece(22/23),freeKickGoal(22/23),goalsFromInsideTheBox(22/23),goalsFromOutsideTheBox(22/23),shotsFromInsideTheBox(22/23),shotsFromOutsideTheBox(22/23),headedGoals(22/23),leftFootGoals(22/23),rightFootGoals(22/23),accurateLongBalls(22/23),accurateLongBallsPercentage(22/23),clearances(22/23),errorLeadToGoal(22/23),errorLeadToShot(22/23),dispossessed(22/23),possessionLost(22/23),possessionWonAttThird(22/23),totalChippedPasses(22/23),accurateChippedPasses(22/23),touches(22/23),wasFouled(22/23),fouls(22/23),hitWoodwork(22/23),ownGoals(22/23),dribbledPast(22/23),offsides(22/23),blockedShots(22/23),passToAssist(22/23),saves(22/23),cleanSheet(22/23),penaltyFaced(22/23),penaltySave(22/23),savedShotsFromInsideTheBox(22/23),savedShotsFromOutsideTheBox(22/23),goalsConcededInsideTheBox(22/23),goalsConcededOutsideTheBox(22/23),punches(22/23),runsOut(22/23),successfulRunsOut(22/23),highClaims(22/23),crossesNotClaimed(22/23),matchesStarted(22/23),penaltyConversion(22/23),setPieceConversion(22/23),totalAttemptAssist(22/23),totalContest(22/23),totalCross(22/23),duelLost(22/23),aerialLost(22/23),attemptPenaltyMiss(22/23),attemptPenaltyPost(22/23),attemptPenaltyTarget(22/23),totalLongBalls(22/23),goalsConceded(22/23),tacklesWon(22/23),tacklesWonPercentage(22/23),scoringFrequency(22/23),yellowRedCards(22/23),savesCaught(22/23),savesParried(22/23),totalOwnHalfPasses(22/23),totalOppositionHalfPasses(22/23),totwAppearances(22/23),expectedGoals(22/23),assists(22/23),rating(21/22),totalRating(21/22),countRating(21/22),goals(21/22),bigChancesCreated(21/22),bigChancesMissed(21/22),goalsAssistsSum(21/22),accuratePasses(21/22),inaccuratePasses(21/22),totalPasses(21/22),accuratePassesPercentage(21/22),accurateOwnHalfPasses(21/22),accurateOppositionHalfPasses(21/22),accurateFinalThirdPasses(21/22),keyPasses(21/22),successfulDribbles(21/22),successfulDribblesPercentage(21/22),tackles(21/22),interceptions(21/22),yellowCards(21/22),directRedCards(21/22),redCards(21/22),accurateCrosses(21/22),accurateCrossesPercentage(21/22),totalShots(21/22),shotsOnTarget(21/22),shotsOffTarget(21/22),groundDuelsWon(21/22),groundDuelsWonPercentage(21/22),aerialDuelsWon(21/22),aerialDuelsWonPercentage(21/22),totalDuelsWon(21/22),totalDuelsWonPercentage(21/22),minutesPlayed(21/22),goalConversionPercentage(21/22),penaltiesTaken(21/22),penaltyGoals(21/22),penaltyWon(21/22),penaltyConceded(21/22),shotFromSetPiece(21/22),freeKickGoal(21/22),goalsFromInsideTheBox(21/22),goalsFromOutsideTheBox(21/22),shotsFromInsideTheBox(21/22),shotsFromOutsideTheBox(21/22),headedGoals(21/22),leftFootGoals(21/22),rightFootGoals(21/22),accurateLongBalls(21/22),accurateLongBallsPercentage(21/22),clearances(21/22),errorLeadToGoal(21/22),errorLeadToShot(21/22),dispossessed(21/22),possessionLost(21/22),possessionWonAttThird(21/22),totalChippedPasses(21/22),accurateChippedPasses(21/22),touches(21/22),wasFouled(21/22),fouls(21/22),hitWoodwork(21/22),ownGoals(21/22),dribbledPast(21/22),offsides(21/22),blockedShots(21/22),passToAssist(21/22),saves(21/22),cleanSheet(21/22),penaltyFaced(21/22),penaltySave(21/22),savedShotsFromInsideTheBox(21/22),savedShotsFromOutsideTheBox(21/22),goalsConcededInsideTheBox(21/22),goalsConcededOutsideTheBox(21/22),punches(21/22),runsOut(21/22),successfulRunsOut(21/22),highClaims(21/22),crossesNotClaimed(21/22),matchesStarted(21/22),penaltyConversion(21/22),setPieceConversion(21/22),totalAttemptAssist(21/22),totalContest(21/22),totalCross(21/22),duelLost(21/22),aerialLost(21/22),attemptPenaltyMiss(21/22),attemptPenaltyPost(21/22),attemptPenaltyTarget(21/22),totalLongBalls(21/22),goalsConceded(21/22),tacklesWon(21/22),tacklesWonPercentage(21/22),scoringFrequency(21/22),yellowRedCards(21/22),savesCaught(21/22),savesParried(21/22),totalOwnHalfPasses(21/22),totalOppositionHalfPasses(21/22),totwAppearances(21/22),assists(21/22),factor(22/23),factor(21/22),age,price,attacking0,technical0,tactical0,defending0,creativity0,attacking1,technical1,tactical1,defending1,creativity1,attacking2,technical2,tactical2,defending2,creativity2,player,role_F,role_M
0.0,0.0,30,24,0,0,0.0,27,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2627,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,109.45833333333,0,0,0,0,0,0,0.0,3,0.0,0.0,17,14,0,0,18,0,0,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,1508,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,107.71428571429,0,0,0,0,0,0,4,0.0,0.0,26,26,80,61,44,25,56,0,0,0,0,0,0,0,0,0,0,artem-dovbyk,1.0,0.0
6.7258064516129,208.5,32,9,2,6,1.18380704,9,122,42,164,74.390243902439,53,69,40,8,0,0.0,13,2,8,0,0,0,0.0,35,21,11,36,39.130434782609,21,46.666666666667,57,41.605839416058,1089,25.714285714286,6,5,0,0,0,0,9,0,35,0,0,0,9,3,60.0,5,0,0,6,78,5,7,5,310,23,39,1,0,9,7,3,0,0,0,0,0,0,0,14,2,0,0,0,0,0,8,83.333333333333,0,8,3,3,80,24,0,0,1,5,16,6,46.153846153846,121.0,0,0,0,64,103,0,9.7015,0,7.0027027027027,259.1,37,22,5,22,24,269,83,352,76.420454545455,127,142,78,18,7,43.75,16,6,12,0,0,0,0.0,90,54,26,58,37.41935483871,60,54.545454545455,118,44.528301886792,2593,24.444444444444,7,5,3,0,0,0,22,0,88,2,8,6,8,3,50.0,27,0,0,23,184,13,10,4,695,35,63,2,0,9,36,10,0,0,5,0,0,0,0,25,5,0,0,0,0,0,27,71.428571428571,0,18,16,1,147,50,1,0,1,6,30,9,56.25,117.86363636364,0,0,0,147,206,2,2,1.0,0.0,37,1.9,69,50,54,32,41,70,53,55,35,42,68,55,56,40,39,cristhian-stuani,1.0,0.0
7.0239999999999805,98.5,15,2,5,0,0.0,6,162,57,219,73.95828097511921,46,122,69,16,23,52.424242424242,14,7,2,0,0,6,37.8461538461538,19,7,4,55,54.5714285714284,0,0.0,55,51.985088536813,675,6.6666666666666,0,0,0,0,1,0,2,0,12,7,0,2,0,11,49.0000000000002,0,0,0,16,137,6,15,9,414,18,2,0,0,3,1,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0.0,0,16,45,18,48,5,0,0,0,22,9,9,54.0,171.9,0,0,0,55,182,1,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.0,19,31,71,70,47,37,67,0,0,0,0,0,0,0,0,0,0,savio,1.0,0.0
7.0105263157895,133.2,32,9,2,0,2.95762806,19,407,151,558,72.939068100358,149,278,150,36,17,62.962962962963,8,7,1,0,0,20,36.363636363636,19,9,4,46,50.0,7,35.0,53,47.321428571429,2656,15.789473684211,0,0,1,0,0,0,3,0,11,8,0,2,1,18,60.0,9,0,0,15,237,10,26,13,791,21,8,0,0,13,2,6,0,0,1,0,0,0,0,16,3,0,0,0,0,0,17,0.0,0,36,27,55,59,13,0,0,0,30,19,8,100.0,374.1041666666647,0,0,0,191,422,1,2.8427,10,0.0,0.0,18,11,0,0,14,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,1477,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,134.27272727273,0,0,0,0,0,0,3,0.5,0.0,26,26,70,60,32,30,75,63,47,30,30,64,55,46,33,30,63,viktor-tsygankov,0.0,1.0
6.7458333333333,161.9,25,1,4,0,2.12314175,3,369,99,468,78.846153846154,159,226,113,19,28,50.909090909091,25,5,3,0,0,16,25.396825396825,8,1,5,68,53.543307086614,1,12.5,69,51.111111111111,1159,12.5,0,0,0,0,0,0,1,0,4,4,0,1,0,17,44.736842105263,10,0,0,13,225,8,46,23,789,15,12,0,0,8,2,2,0,0,1,0,0,0,0,14,1,0,0,0,0,0,12,0.0,0,19,55,63,66,7,0,0,0,38,15,18,72.0,1159.0,0,0,0,198,333,0,0.5273,2,6.8678571428571,192.3,28,1,8,3,3,803,206,1009,79.583746283449,349,470,245,28,32,57.142857142857,31,23,4,0,0,16,19.753086419753,18,3,14,94,54.335260115607,5,27.777777777778,99,51.832460732984,1805,5.5555555555556,0,0,1,0,0,0,1,0,11,7,0,0,1,63,54.782608695652,10,0,0,18,387,9,77,34,1609,31,19,1,0,18,2,1,0,0,3,0,0,0,0,12,2,0,0,0,0,0,19,0.0,0,28,56,81,92,13,0,0,0,115,14,19,61.290322580645,1805.0,0,0,0,405,685,0,2,1.0,1.0,21,12.4,54,55,34,45,61,49,56,41,55,56,49,53,43,54,55,couto-yan,0.0,0.0
7.3966666666667,221.9,30,1,12,1,5.99874644,6,1291,161,1452,88.911845730028,620,737,344,68,13,59.090909090909,37,31,1,0,0,66,36.871508379888,32,14,12,79,59.848484848485,13,68.421052631579,92,60.927152317881,2339,3.125,0,0,0,0,4,0,1,0,11,21,0,1,0,99,67.808219178082,28,0,1,12,327,13,120,80,1930,29,14,2,0,18,1,6,3,0,1,0,0,0,0,33,4,0,0,0,0,0,26,0.0,0,65,22,179,59,6,0,0,0,146,37,20,54.054054054054,2339.0,0,0,0,675,956,9,1.8353,5,7.3921052631579,280.9,38,0,12,1,4,1981,269,2250,88.044444444444,891,1170,545,81,31,81.578947368421,64,46,7,0,0,80,31.128404669261,35,6,15,121,56.542056074766,27,46.551724137931,148,54.411764705882,3167,0.0,0,0,1,3,7,0,0,0,6,29,0,0,0,148,62.18487394958,44,0,2,10,517,11,191,117,2926,26,34,1,0,43,1,14,3,0,8,0,0,0,0,31,6,0,0,0,0,0,36,0.0,0,78,38,257,124,31,0,0,0,238,37,36,56.25,0.0,0,0,0,965,1542,7,4,1.0,0.0,26,21,68,75,74,56,83,63,71,60,48,76,56,64,55,49,68,aleix-garcia,0.0,1.0
6.71,134.2,20,2,2,4,0.97236871,4,327,68,395,82.784810126582,135,196,93,11,12,60.0,26,4,4,0,0,4,21.052631578947,24,8,13,60,45.112781954887,18,36.734693877551,78,42.857142857143,965,8.3333333333333,0,0,0,0,0,0,1,1,15,9,1,1,0,13,50.0,12,0,0,22,142,6,27,15,608,22,34,1,0,9,2,3,0,0,0,0,0,0,0,17,2,0,0,0,0,0,12,0.0,0,11,20,19,104,31,0,0,0,26,19,9,34.615384615385,482.5,0,0,0,147,267,0,2.3217,2,6.6913043478261,153.9,23,1,1,2,2,699,157,856,81.658878504673,345,357,130,12,19,63.333333333333,41,19,5,0,1,3,30.0,15,2,11,93,48.947368421053,56,48.275862068966,149,48.692810457516,1650,6.6666666666667,0,0,0,0,0,0,1,0,9,6,0,0,1,22,55.0,32,1,0,23,231,9,36,18,1177,34,44,0,0,21,1,2,0,0,5,0,0,0,0,24,0,0,0,0,0,0,19,0.0,0,12,30,10,157,60,0,0,0,40,24,31,75.609756097561,1650.0,1,0,0,389,477,1,1,1.0,1.0,26,18.7,56,62,51,46,57,53,54,47,44,58,53,51,45,49,54,yangel-herrera,0.0,1.0
6.6058823529412,224.6,34,0,1,3,2.59625364,3,375,148,523,71.7017208413,144,252,135,27,13,37.142857142857,28,17,5,0,1,21,23.076923076923,15,5,5,66,46.153846153846,20,36.363636363636,86,43.434343434343,1765,0.0,0,0,0,0,0,0,0,0,8,7,0,0,0,13,31.707317073171,14,0,1,8,303,10,46,17,969,25,25,1,0,24,10,5,0,0,3,0,0,0,0,20,4,0,0,0,0,0,17,0.0,0,27,35,91,112,35,0,0,0,41,24,21,75.0,0.0,1,0,0,192,422,0,1.7165,3,6.6648648648649,246.6,37,1,5,3,3,338,102,440,76.818181818182,95,250,155,18,9,50.0,16,7,5,0,0,7,20.0,25,10,6,50,44.642857142857,14,27.450980392157,64,39.263803680982,1621,4.0,1,1,1,0,0,0,1,0,23,2,0,0,1,5,50.0,7,0,0,19,196,11,22,10,708,25,19,1,0,16,11,9,0,0,1,0,0,0,0,14,2,0,0,0,0,0,17,100.0,0,18,18,35,99,37,0,0,0,10,16,7,43.75,1621.0,0,0,0,121,354,0,2,1.0,1.0,31,3.8,56,51,34,39,60,57,49,32,34,56,62,53,35,33,56,portu,1.0,0.0
6.6541666666667,159.7,24,3,6,4,2.13493594,6,550,96,646,85.139318885449,241,317,166,17,26,59.090909090909,9,9,2,0,0,8,44.444444444444,18,8,8,48,35.294117647059,12,42.857142857143,60,36.585365853659,1589,16.666666666667,0,0,1,0,0,0,3,0,14,4,1,0,2,13,76.470588235294,11,0,0,37,194,9,19,12,899,13,18,0,0,15,3,2,0,0,1,0,0,0,0,24,1,0,0,0,0,0,18,0.0,0,17,44,18,104,16,0,0,0,17,25,7,77.777777777778,529.66666666667,0,0,0,276,388,0,2.4232,3,6.595238095238071,132.2,21,0,2,3,1,418,100,518,80.93717811406256,132,287,160,11,20,52.91005291005287,11,8,0,0,0,1,8.928571428571429,12,4,5,43,43.97089397089357,9,41.07142857142857,52,44.82038429406829,1013,0.0,0,0,0,0,0,0,0,0,9,3,0,0,0,13,48.48484848484871,7,0,0,20,174,8,27,10,706,12,10,1,0,6,0,3,0,0,1,0,0,0,0,13,0,0,0,0,0,0,9,0.0,0,11,29,11,57,13,0,0,0,25,13,5,57.142857142857146,0.0,0,0,0,153,376,0,1,1.0,0.5,24,9.1,58,61,25,22,61,52,51,33,35,54,54,57,38,37,56,ivan-martin,0.0,1.0
6.9173913043478,159.1,24,1,1,0,0.58030725,1,1127,112,1239,90.960451977401,635,492,186,1,2,50.0,24,19,3,0,0,0,0.0,7,1,3,34,52.307692307692,23,60.526315789474,57,55.339805825243,1426,14.285714285714,0,0,0,2,0,0,1,0,5,2,0,0,1,81,68.64406779661,34,0,1,2,129,1,69,38,1419,8,18,0,0,11,0,3,0,0,7,0,0,0,0,8,2,0,0,0,0,0,15,0.0,0,1,4,0,46,15,0,0,0,118,10,16,66.666666666667,1426.0,0,0,0,677,562,2,1.5554,0,6.8730769230769,178.7,26,0,0,1,0,1558,114,1672,93.181818181818,887,671,184,4,2,66.666666666667,27,44,5,1,1,0,0.0,6,4,0,34,40.47619047619,32,60.377358490566,66,48.175182481752,2042,0.0,0,0,0,1,0,0,0,0,2,4,0,0,0,86,69.918699186992,47,0,3,1,135,2,72,41,1883,5,34,0,0,15,2,2,0,0,5,0,0,0,0,19,1,0,0,0,0,0,23,0.0,0,4,3,2,71,21,0,0,0,123,20,18,66.666666666667,0.0,0,0,0,930,744,0,0,1.0,1.0,23,14.6,39,50,71,73,47,37,52,72,75,46,35,50,66,68,46,eric-garcia,0.0,0.0
